,Work Description,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,APN_number,AIN,GeneralUseType,SpecificUseType,RecordingDate,Bedrooms,Bathrooms,Units,TotalValue
0,"NEW 36'-4"" X 14'-8"" ADDITION OF ACCESSORY DWELLING UNIT (PER AB 2299 &",2017-04-18,52000.0,555.0,1.0,1.0,RS-1,2669019007,2669019007,Residential,Single Family Residence,2017-01-06,3.0,2.0,1,"535,805.00"
1,PROPOED NEW DETACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. SE,2019-11-25,104000.0,1029.0,,1.0,R2-1,6053015034,6053015034,Residential,Single Family Residence,2001-07-27,3.0,1.0,1,"124,380.00"
2,Converting Garage/Recreation Room to a Accessory Dwelling Unit per AB2,2017-08-25,293584.0,1901.0,,2.0,RE11-1,4264004029,4264004029,Residential,Single Family Residence,2016-03-11,3.0,3.0,1,"3,232,171.00"
3,"PROPOSED 30'-2"" X 55'-11"" ACCESSORY DWELLING UNIT W/ ATT 1-CAR GARAGE",2017-06-15,150000.0,1200.0,1.0,1.0,RA-1,2656006022,2656006022,Residential,Single Family Residence,2016-04-19,5.0,4.0,2,"857,078.00"
4,CONVERT (E) 1-STORY DETACHED IRR. GARAGE TO (N) ACCESSORY DWELLING UNI,2017-04-03,45000.0,577.0,1.0,1.0,RA-1,2163003002,2163003002,Residential,Single Family Residence,2016-06-02,3.0,2.0,1,"230,441.00"
5,CONVERT EXISTING REC ROOM TO ACCESSORY DWELLING UNIT PER AB2299 25B1C6,2017-04-20,10000.0,391.0,1.0,2.0,R1-1,4255012022,4255012022,(missing),(missing),2011-12-22,3.0,2.0,2,"861,610.00"
6,CONVERT (E)  RECREATION ROOM INTO AN ACCESSORY DWELLING UNIT.,2020-02-10,12500.0,643.0,,1.0,R1-1,7349026031,7349026031,Residential,Single Family Residence,2008-04-03,4.0,2.0,1,"229,469.00"
7,SUPPLEMENTAL TO PERMIT #18016-10000-23017 TO REVISE FLOOR PLAN OF ADU,2018-08-17,5000.0,,,,R1-1,2112001029,2112001029,Residential,Single Family Residence,2018-06-07,3.0,2.0,1,"461,243.00"
8,Convert an existing office to ADU per AB 2299 and SB 1069,2017-04-20,12000.0,0.0,1.0,,RE9-1,5556027019,5556027019,(missing),(missing),2007-09-28,4.0,4.0,1,"1,041,434.00"
9,"CONVERT THE (E) 20'4""  x  21'2"" GARAGE TO A NEW ACCESSORY DWELLING UNI",2017-05-02,45000.0,520.0,1.0,0.0,R1-1-RIO,2130029005,2130029005,Residential,Single Family Residence,2018-03-02,3.0,1.0,1,"640,560.00"
